site_id,lon,lat
853,6.26861,46.23226
854,6.26871,46.23236
855,6.26881,46.23246
856,6.2689,46.21417
857,6.26891,46.23256
858,6.269,46.21427
859,6.2691,46.21437
860,6.2692,46.21447
861,6.2693,46.21457
862,6.28489,46.68216
863,6.28499,46.68226
864,6.28509,46.68236
865,6.28528,46.66417
866,6.28538,46.66427
867,6.28548,46.66437
868,6.28558,46.66447
869,6.28566,46.64618
870,6.28568,46.66457
871,6.28576,46.64628
872,6.28586,46.64638
873,6.28596,46.64648
874,6.28604,46.62819
875,6.28606,46.64658
876,6.28614,46.62829
877,6.28624,46.62839
878,6.28634,46.62849
879,6.28643,46.6102
880,6.28644,46.62859
881,6.28653,46.6103
882,6.28663,46.6104
883,6.28681,46.59221
884,6.28691,46.59231
885,6.28701,46.59241
886,6.28711,46.59251
887,6.2872,46.57422
888,6.28721,46.59261
889,6.2873,46.57432
890,6.2874,46.57442
891,6.2875,46.57452
892,6.28758,46.55623
893,6.2876,46.57462
894,6.28768,46.55633
895,6.28834,46.52025
896,6.28844,46.52035
897,6.28854,46.52045
898,6.28864,46.52055
899,6.28873,46.50226
900,6.28874,46.52065
901,6.28883,46.50236
902,6.28893,46.50246
903,6.28903,46.50256
904,6.28911,46.48427
905,6.28913,46.50266
906,6.28921,46.48437
907,6.28931,46.48447
908,6.28941,46.48457
909,6.28949,46.46629
910,6.28951,46.48467
911,6.28959,46.46639
912,6.28969,46.46649
913,6.28979,46.46659
914,6.28987,46.4483
915,6.28989,46.46669
916,6.28997,46.4484
917,6.29007,46.4485
918,6.29017,46.4486
919,6.29025,46.43031
920,6.29027,46.4487
921,6.29035,46.43041
922,6.29045,46.43051
923,6.29055,46.43061
924,6.29064,46.41232
925,6.29065,46.43071
926,6.29074,46.41242
927,6.29084,46.41252
928,6.29094,46.41262
929,6.29102,46.39433
930,6.29104,46.41272
931,6.29112,46.39443
932,6.29406,46.25041
933,6.29416,46.25051
934,6.29426,46.25061
935,6.29436,46.25071
936,6.29443,46.23242
937,6.29446,46.25081
938,6.29453,46.23252
939,6.29463,46.23262
940,6.29473,46.23272
941,6.29481,46.21444
942,6.29483,46.23282
943,6.29491,46.21454
944,6.31065,46.70041
945,6.31103,46.68242
946,6.31113,46.68252
947,6.31123,46.68262
948,6.31133,46.68272
949,6.31141,46.66443
950,6.31143,46.68282
951,6.31151,46.66453
952,6.31161,46.66463
953,6.31171,46.66473
954,6.31178,46.64644
955,6.31181,46.66483
956,6.31188,46.64654
957,6.31198,46.64664
958,6.31208,46.64674
959,6.31216,46.62845
960,6.31218,46.64684
961,6.31226,46.62855
962,6.31253,46.61046
963,6.31263,46.61056
964,6.31273,46.61066
965,6.31283,46.61076
966,6.31291,46.59247
967,6.31293,46.61086
968,6.31301,46.59257
969,6.31311,46.59267
970,6.31328,46.57448
971,6.31338,46.57458
972,6.31348,46.57468
973,6.31358,46.57478
974,6.31366,46.55649
975,6.31403,46.5385
976,6.3144,46.52051
977,6.3145,46.52061
978,6.3146,46.52071
979,6.3147,46.52081
980,6.31478,46.50253
981,6.3148,46.52091
982,6.31488,46.50263
983,6.31498,46.50273
984,6.31508,46.50283
985,6.31515,46.48454
986,6.31518,46.50293
987,6.31525,46.48464
988,6.31535,46.48474
989,6.31545,46.48484
990,6.31553,46.46655
991,6.31555,46.48494
992,6.31563,46.46665
993,6.31573,46.46675
994,6.31583,46.46685
995,6.3159,46.44856
996,6.31593,46.46695
997,6.316,46.44866
998,6.3161,46.44876
999,6.3162,46.44886
1000,6.31627,46.43057
1001,6.3163,46.44896
1002,6.31637,46.43067
1003,6.31647,46.43077
1004,6.31657,46.43087
1005,6.31667,46.43097
1006,6.31999,46.25067
1007,6.32009,46.25077
1008,6.32019,46.25087
1009,6.32029,46.25097
1010,6.32036,46.23268
1011,6.32039,46.25107
1012,6.3368,46.70066
1013,6.3369,46.70076
1014,6.337,46.70086
1015,6.3371,46.70096
1016,6.33717,46.68267
1017,6.3372,46.70106
1018,6.33727,46.68277
1019,6.33737,46.68287
1020,6.33747,46.68297
1021,6.33754,46.66468
1022,6.33757,46.68307
1023,6.33764,46.66478
1024,6.33774,46.66488
1025,6.33784,46.66498
1026,6.3379,46.6467
1027,6.33794,46.66508
1028,6.338,46.6468
1029,6.3381,46.6469
1030,6.3382,46.647
1031,6.33827,46.62871
1032,6.3383,46.6471
1033,6.33837,46.62881
1034,6.33847,46.62891
1035,6.33857,46.62901
1036,6.33864,46.61072
1037,6.33867,46.62911
1038,6.33874,46.61082
1039,6.339,46.59273
1040,6.33937,46.57474
1041,6.33947,46.57484
1042,6.33957,46.57494
1043,6.33967,46.57504
1044,6.33973,46.55675
1045,6.33983,46.55685
1046,6.33993,46.55695
1047,6.34003,46.55705
1048,6.3401,46.53876
1049,6.34013,46.55715
1050,6.3402,46.53886
1051,6.3403,46.53896
1052,6.3404,46.53906
1053,6.34047,46.52077
1054,6.3405,46.53916
1055,6.34057,46.52087
1056,6.34067,46.52097
1057,6.34077,46.52107
1058,6.34083,46.50278
1059,6.34087,46.52117
1060,6.34093,46.50288
1061,6.34103,46.50298
1062,6.34113,46.50308
1063,6.3412,46.48479
1064,6.34123,46.50318
1065,6.3413,46.48489
1066,6.3414,46.48499
1067,6.3415,46.48509
1068,6.34156,46.4668
1069,6.3416,46.48519
1070,6.34166,46.4669
1071,6.34176,46.467
1072,6.34186,46.4671
1073,6.34192,46.44881
1074,6.34196,46.4672
1075,6.34202,46.44891
1076,6.34212,46.44901
1077,6.34222,46.44911
1078,6.34232,46.44921
1079,6.36259,46.7189
1080,6.36269,46.719
1081,6.36279,46.7191
1082,6.36289,46.7192
1083,6.36295,46.70091
1084,6.36299,46.7193
1085,6.36305,46.70101
1086,6.36315,46.70111
1087,6.36325,46.70121
1088,6.36331,46.68292
1089,6.36335,46.70131
1090,6.36341,46.68302
1091,6.36351,46.68312
1092,6.36361,46.68322
1093,6.36367,46.66493
1094,6.36371,46.68332
1095,6.36377,46.66503
1096,6.36387,46.66513
1097,6.36397,46.66523
1098,6.36402,46.64695
1099,6.36407,46.66533
1100,6.36412,46.64705
1101,6.36422,46.64715
1102,6.36432,46.64725
1103,6.36438,46.62896
1104,6.36442,46.64735
