lat,lon,psa03_%g,lnpsa03_uncertainty
47.8,10.0167,0.9874999999999999,0.6082
47.8,10.025,1.059,0.6082
47.8,10.0333,1.054,0.6082
47.8,10.0417,1.02,0.6082
47.8,10.05,1.015,0.6082
47.8,10.0583,1.173,0.6082
47.8,10.0667,1.167,0.6082
47.8,10.075,0.9544,0.6082
47.8,10.0833,0.9498,0.6082
47.8,10.0917,1.151,0.6082
47.8,10.1,1.145,0.6082
47.8,10.1083,1.139,0.6082
47.8,10.1167,1.134,0.6082
47.8,10.125,1.129,0.6082
47.8,10.1333,1.1229999999999998,0.6082
47.8,10.1417,1.1179999999999999,0.6082
47.8,10.15,1.1119999999999999,0.6082
47.8,10.1583,1.107,0.6082
47.8,10.1667,1.1019999999999999,0.6082
47.8,10.175,0.9352999999999999,0.6082
47.8,10.1833,0.9308,0.6082
47.8,10.1917,0.8923,0.6082
47.8,10.2,0.8880999999999999,0.6082
47.8,10.2083,0.8838999999999999,0.6082
47.8,10.2167,0.8797,0.6082
47.8,10.225,0.8921000000000001,0.6082
47.8,10.2333,0.8879,0.6082
47.8,10.2417,1.0559999999999998,0.6082
47.8,10.25,1.0510000000000002,0.6082
47.8,10.2583,0.8754,0.6082
47.8,10.2667,0.8711999999999999,0.6082
47.8,10.275,0.8672,0.6082
47.8,10.2833,0.8631000000000001,0.6082
47.8,10.2917,0.8431,0.6082
47.8,10.3,0.8392,0.6082
47.8,10.3083,0.8352,0.6082
47.8,10.3167,0.8312999999999998,0.6082
47.8,10.325,0.8274999999999999,0.6082
47.8,10.3333,0.8236,0.6082
47.8,10.3417,0.8197999999999999,0.6082
47.8,10.35,0.8160000000000001,0.6082
47.8,10.3583,1.1159999999999999,0.6082
47.8,10.3667,1.111,0.6082
47.8,10.375,0.8047,0.6082
47.8,10.3833,0.8009,0.6082
47.8,10.3917,0.8795999999999999,0.6082
47.8,10.4,0.8755000000000001,0.6082
47.8,10.4083,0.7898999999999999,0.6082
47.8,10.4167,0.7862999999999999,0.6082
47.8,10.425,0.7826000000000001,0.6082
47.8,10.4333,0.7789999999999999,0.6082
47.8,10.4417,1.066,0.6082
47.8,10.45,1.061,0.6082
47.8,10.4583,0.7684,0.6082
47.8,10.4667,0.7647999999999999,0.6082
47.8,10.475,0.7612999999999999,0.6082
47.8,10.4833,0.7579,0.6082
47.8,10.4917,0.7544,0.6082
47.8,10.5,0.751,0.6082
47.8,10.5083,0.7474999999999999,0.6082
47.8,10.5167,0.7441,0.6082
47.8,10.525,0.7476999999999999,0.6082
47.8,10.5333,0.7443000000000001,0.6082
47.8,10.5417,0.9997,0.6082
47.8,10.55,0.9952,0.6082
47.8,10.5583,0.7273999999999999,0.6082
47.8,10.5667,0.7241,0.6082
47.8,10.575,0.7209,0.6082
47.8,10.5833,0.7175999999999999,0.6082
47.8,10.5917,0.7144,0.6082
47.8,10.6,0.7111999999999999,0.6082
47.7917,5.9,1.079,0.6082
47.7917,5.9083,1.085,0.6082
47.7917,5.9167,1.091,0.6082
47.7917,5.925,1.098,0.6082
47.7917,5.9333,1.1039999999999999,0.6082
47.7917,5.9417,1.11,0.6082
47.7917,5.95,1.117,0.6082
47.7917,5.9583,1.1229999999999998,0.6082
47.7917,5.9667,1.13,0.6082
47.7917,5.975,1.136,0.6082
47.7917,5.9833,1.143,0.6082
47.7917,5.9917,1.15,0.6082
47.7917,6,1.157,0.6082
47.7917,6.0083,1.164,0.6082
47.7917,6.0167,1.17,0.6082
47.7917,6.025,1.1769999999999998,0.6082
47.7917,6.0333,1.184,0.6082
47.7917,6.0417,1.192,0.6082
47.7917,6.05,1.199,0.6082
47.7917,6.0583,1.206,0.6082
47.7917,6.0667,1.7810000000000001,0.6082
47.7917,6.075,1.791,0.6082
47.7917,6.0833,1.5299999999999998,0.6082
47.7917,6.0917,1.539,0.6082
47.7917,6.1,1.9299999999999997,0.6082
47.7917,6.1083,1.9419999999999997,0.6082
47.7917,6.1167,1.847,0.6082
47.7917,6.125,1.858,0.6082
47.7917,6.1333,1.978,0.6082
47.7917,6.1417,1.9899999999999998,0.6082
47.7917,6.15,1.607,0.6082
47.7917,6.1583,1.617,0.6082
47.7917,6.1667,2.6100000000000003,0.6082
47.7917,6.175,2.6270000000000002,0.6082
47.7917,6.1833,2.643,0.6082
47.7917,6.1917,2.6599999999999997,0.6082
47.7917,6.2,1.339,0.6082
47.7917,6.2083,1.347,0.6082
47.7917,6.2167,1.3559999999999999,0.6082
47.7917,6.225,1.365,0.6082
47.7917,6.2333,1.373,0.6082
47.7917,6.2417,1.382,0.6082
47.7917,6.25,2.781,0.6082
47.7917,6.2583,2.7989999999999995,0.6082
47.7917,6.2667,2.8169999999999993,0.6082
47.7917,6.275,2.835,0.6082
47.7917,6.2833,2.217,0.6082
47.7917,6.2917,2.231,0.6082
47.7917,6.3,2.1839999999999997,0.6082
47.7917,6.3083,2.198,0.6082
47.7917,6.3167,2.276,0.6082
47.7917,6.325,2.291,0.6082
47.7917,6.3333,2.3059999999999996,0.6082
47.7917,6.3417,2.322,0.6082
47.7917,6.35,2.3369999999999997,0.6082
47.7917,6.3583,2.3529999999999998,0.6082
47.7917,6.3667,2.3689999999999998,0.6082
47.7917,6.375,2.385,0.6082
47.7917,6.3833,2.401,0.6082
47.7917,6.3917,2.4179999999999997,0.6082
47.7917,6.4,2.4339999999999997,0.6082
47.7917,6.4083,2.4509999999999996,0.6082
47.7917,6.4167,2.468,0.6082
47.7917,6.425,2.4859999999999998,0.6082
47.7917,6.4333,2.5029999999999997,0.6082
47.7917,6.4417,2.52,0.6082
47.7917,6.45,1.6349999999999998,0.6082
47.7917,6.4583,1.646,0.6082
47.7917,6.4667,1.6580000000000001,0.6082
47.7917,6.475,1.67,0.6082
47.7917,6.4833,1.6819999999999997,0.6082
47.7917,6.4917,1.694,0.6082
47.7917,6.5,1.7059999999999997,0.6082
47.7917,6.5083,1.7189999999999999,0.6082
47.7917,6.5167,1.731,0.6082
47.7917,6.525,1.744,0.6082
47.7917,6.5333,1.7570000000000001,0.6082
47.7917,6.5417,1.77,0.6082
47.7917,6.55,1.7829999999999997,0.6082
47.7917,6.5583,1.796,0.6082
47.7917,6.5667,1.8099999999999998,0.6082
47.7917,6.575,1.823,0.6082
47.7917,6.5833,1.8369999999999997,0.6082
47.7917,6.5917,1.851,0.6082
47.7917,6.6,1.8649999999999998,0.6082
47.7917,6.6083,1.8800000000000001,0.6082
47.7917,6.6167,1.894,0.6082
47.7917,6.625,1.9089999999999998,0.6082
47.7917,6.6333,1.924,0.6082
47.7917,6.6417,1.9389999999999998,0.6082
47.7917,6.65,1.954,0.6082
47.7917,6.6583,1.9689999999999999,0.6082
47.7917,6.6667,1.985,0.6082
47.7917,6.675,2.001,0.6082
47.7917,6.6833,2.017,0.6082
47.7917,6.6917,2.033,0.6082
47.7917,6.7,2.0500000000000003,0.6082
47.7917,6.7083,2.067,0.6082
